pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
EU	RU	1	1	50000	0.424095124139994	35	11342	26744	7276
EU	RU	1	50001	100000	0.4477341389728096	33	11856	26480	5596
EU	RU	1	100001	150000	0.4421015010721944	67	24740	55960	9164
EU	RU	1	150001	200000	0.4155101718971771	66	21078	50728	13424
EU	RU	1	200001	250000	0.4234610791445011	50	15602	36844	11756
EU	RU	1	250001	300000	0.417028873020801	32	10746	25768	5336
EU	RU	1	300001	350000	0.4356954142290998	54	18470	42392	10096
EU	RU	1	350001	400000	0.4386121687776828	67	22578	51476	13648
EU	RU	1	400001	450000	0.4598942771776603	67	24012	52212	12912
EU	RU	1	450001	500000	0.4218033058764995	96	30520	72356	20956
EU	RU	1	500001	550000	0.4155781481243163	75	25834	62164	10736
EU	RU	1	550001	600000	0.400343081195883	65	19604	48968	14212
EU	RU	1	600001	650000	0.4244487922341786	65	22562	53156	10024
EU	RU	1	650001	700000	0.4547885269810403	12	3742	8228	3436
EU	RU	1	700001	750000	0.4088885355382414	31	10286	25156	4976
EU	RU	1	750001	800000	0.417757298846124	69	21578	51652	15416
EU	RU	1	800001	850000	0.4170509672396238	90	27854	66788	20692
EU	RU	1	850001	900000	0.3992320079276601	82	25784	64584	15120
EU	RU	1	900001	950000	0.3951512270485471	87	26600	67316	17248
EU	RU	1	950001	1000000	0.3981744824393147	75	24080	60476	12424
EU	RU	1	1000001	1050000	0.4151998908445899	40	12172	29316	9564
EU	RU	1	1050001	1100000	0.409410654542335	55	19090	46628	6832
EU	RU	1	1100001	1150000	0.4149429551989611	52	17894	43124	7420
EU	RU	1	1150001	1200000	0.3989575773569968	70	24188	60628	7412
EU	RU	1	1200001	1250000	0.4056704980842912	96	31764	78300	15012
EU	RU	1	1250001	1300000	0.370856940509915	70	20946	56480	11560
EU	RU	1	1300001	1350000	0.3963168279620407	56	16872	42572	11860
EU	RU	1	1350001	1400000	0.4497322508205217	27	10414	23156	3088
EU	RU	1	1400001	1450000	0.3929452838138807	78	26112	66452	9364
EU	RU	1	1450001	1500000	0.433498223367937	78	24888	57412	18404
EU	RU	1	1500001	1550000	0.3916850220264317	92	28452	72640	16784
EU	RU	1	1550001	1600000	0.3938389923329682	95	28766	73040	19300
EU	RU	1	1600001	1650000	0.4272293317083079	53	16826	39384	12132
EU	RU	1	1650001	1700000	0.3879484185947782	88	29242	75376	10160
EU	RU	1	1700001	1750000	0.4101439274447949	99	33284	81152	15076
EU	RU	1	1750001	1800000	0.4177275161702303	115	40558	97092	14688
EU	RU	1	1800001	1850000	0.4256172679745328	91	32890	77276	11176
EU	RU	1	1850001	1900000	0.4125368995437874	107	36894	89432	14572
EU	RU	1	1900001	1950000	0.4185229609321453	115	39080	93376	18404
EU	RU	1	1950001	2000000	0.4206345684490792	112	37916	90140	18724
EU	RU	1	2000001	2050000	0.4012780599705063	30	9796	24412	4748
EU	RU	1	2050001	2100000	NA	0	NA	NA	NA
EU	RU	1	2100001	2150000	0.3897109193040142	100	34134	87588	9612
EU	RU	1	2150001	2200000	0.4104131875235683	84	30474	74252	7396
EU	RU	1	2200001	2250000	0.3751776555644812	78	24286	64732	11084
EU	RU	1	2250001	2300000	0.4140601159597192	62	21710	52432	7832
EU	RU	1	2300001	2350000	0.385229102620407	67	21052	54648	10476
EU	RU	1	2350001	2400000	0.41374371379464	76	25998	62836	11036
EU	RU	1	2400001	2450000	0.4133348141566711	63	22330	54024	7212
EU	RU	1	2450001	2500000	0.4152020697653671	54	18616	44836	7652
EU	RU	1	2500001	2550000	0.4180440377466399	89	29238	69940	16568
EU	RU	1	2550001	2600000	0.4238242748521543	71	24080	56816	12196
EU	RU	1	2600001	2650000	0.4311436485951721	49	17432	40432	7196
EU	RU	1	2650001	2700000	0.4341189073379753	43	16210	37340	4456
EU	RU	1	2700001	2750000	0.4036841618069055	55	17444	43212	10248
EU	RU	1	2750001	2800000	0.3941984116300983	75	23428	59432	13468
EU	RU	1	2800001	2850000	0.4073158847278296	68	23406	57464	8632
EU	RU	1	2850001	2900000	0.402878720207885	114	39690	98516	12292
EU	RU	1	2900001	2950000	0.4061334031550697	72	24818	61108	8876
EU	RU	1	2950001	3000000	0.4128068618751848	81	27914	67620	11112
EU	RU	1	3000001	3050000	0.3968985064864275	89	29126	73384	13124
EU	RU	1	3050001	3100000	0.4195807314897413	61	18814	44840	14452
EU	RU	1	3100001	3150000	0.3891462306993642	106	34276	88080	14952
EU	RU	1	3150001	3200000	0.4218500287668605	77	26396	62572	12272
EU	RU	1	3200001	3250000	0.4011293179805137	105	36230	90320	11740
EU	RU	1	3250001	3300000	0.3817443687794657	94	29150	76360	15008
EU	RU	1	3300001	3350000	0.3981507986488807	82	27818	69868	9836
EU	RU	1	3350001	3400000	0.3877600517408645	88	28778	74216	11320
EU	RU	1	3400001	3450000	0.3815352149828541	87	28928	75820	8744
EU	RU	1	3450001	3500000	0.3973568804077279	81	26820	67496	11236
EU	RU	1	3500001	3550000	0.4209501358068979	89	32856	78052	8456
EU	RU	1	3550001	3600000	0.4098498196157396	111	39080	95352	12540
EU	RU	1	3600001	3650000	0.417605393411845	109	39148	93744	12204
EU	RU	1	3650001	3700000	0.4211069368749669	91	31834	75596	12856
EU	RU	1	3700001	3750000	0.4250858803840394	106	38608	90824	12208
EU	RU	1	3750001	3800000	0.4155813953488372	72	25018	60200	9784
EU	RU	1	3800001	3850000	0.3867749897161662	48	15044	38896	7760
EU	RU	1	3850001	3900000	0.3884907615265066	57	17998	46328	9076
EU	RU	1	3900001	3950000	0.4087245139876719	63	20688	50616	10620
EU	RU	1	3950001	4000000	0.4217222021006881	53	18630	44176	7340
EU	RU	1	4000001	4050000	0.4273571760334417	55	18402	43060	10400
EU	RU	1	4050001	4100000	0.4047494194321672	68	21612	53396	12700
EU	RU	1	4100001	4150000	0.4182584897229669	85	29954	71616	11004
EU	RU	1	4150001	4200000	0.4138006732035709	62	22620	54664	5600
EU	RU	1	4200001	4250000	0.4385608293525765	49	17260	39356	8272
EU	RU	1	4250001	4300000	0.4164977389677218	95	32052	76956	15384
EU	RU	1	4300001	4350000	0.4132342778161714	68	23918	57880	8216
EU	RU	1	4350001	4400000	0.4079565337508057	53	17720	43436	8080
EU	RU	1	4400001	4450000	0.4071015401770158	68	23366	57396	8700
EU	RU	1	4450001	4500000	0.3992729582833345	74	22626	56668	15260
EU	RU	1	4500001	4550000	0.3960573476702509	79	25194	63612	13176
EU	RU	1	4550001	4600000	0.3666434236904035	56	16826	45892	8540
EU	RU	1	4600001	4650000	0.3853829011345219	48	15218	39488	7168
EU	RU	1	4650001	4700000	0.4064181042478204	51	17528	43128	6444
EU	RU	1	4700001	4750000	0.4039788063580926	49	16164	40012	7616
EU	RU	1	4750001	4800000	0.4183089856670341	77	24282	58048	16796
EU	RU	1	4800001	4850000	0.4066509789992452	114	36636	90092	20716
EU	RU	1	4850001	4900000	0.4046369546487037	74	20664	51068	20860
EU	RU	1	4900001	4950000	0.4037336190554685	59	19594	48532	8816
EU	RU	1	4950001	5000000	0.4014616935483871	74	22302	55552	16376
EU	RU	1	5000001	5050000	0.4412528291838636	87	26514	60088	24476
EU	RU	1	5050001	5100000	0.4015358636217433	71	19974	49744	19268
EU	RU	1	5100001	5150000	0.3749681690858161	47	11780	31416	14268
EU	RU	1	5150001	5200000	0.4234326403666721	74	20694	48872	23056
EU	RU	1	5200001	5250000	0.440061928634621	69	23876	54256	12812
EU	RU	1	5250001	5300000	0.432795898655175	71	23300	53836	15176
EU	RU	1	5300001	5350000	0.4238109219025249	39	11548	27248	10660
EU	RU	1	5350001	5400000	0.4000891067052796	47	14368	35912	9772
EU	RU	1	5400001	5450000	0.4255740620957309	70	21054	49472	18568
EU	RU	1	5450001	5500000	0.3948133243907892	66	21192	53676	10476
EU	RU	1	5500001	5550000	0.3816670514892634	64	19836	51972	10236
EU	RU	1	5550001	5600000	0.4357534770958274	72	27320	62696	7288
EU	RU	1	5600001	5650000	0.3954533941236069	74	24980	63168	8760
EU	RU	1	5650001	5700000	0.4220678050604512	75	27090	64184	8716
EU	RU	1	5700001	5750000	0.41429418742586	57	19558	47208	8196
EU	RU	1	5750001	5800000	0.4263095339162917	54	20086	47116	5372
EU	RU	1	5800001	5850000	0.404077894533886	53	16766	41492	10024
EU	RU	1	5850001	5900000	0.3993598862019915	57	17968	44992	10412
EU	RU	1	5900001	5950000	0.4016748003549246	42	14486	36064	4760
EU	RU	1	5950001	6000000	0.4292285242989468	74	27062	63048	8880
EU	RU	1	6000001	6050000	0.4349265063759369	49	17872	41092	6536
EU	RU	1	6050001	6100000	0.4034592130042621	50	16282	40356	8244
EU	RU	1	6100001	6150000	0.4410791813107298	46	17068	38696	6016
EU	RU	1	6150001	6200000	0.4155452761424166	34	11858	28536	4512
EU	RU	1	6200001	6250000	0.4485107365504502	21	7770	17324	3088
EU	RU	1	6250001	6300000	0.483496126641967	16	5742	11876	3676
EU	RU	1	6300001	6350000	0.4296235679214402	11	3150	7332	3360
EU	RU	1	6350001	6400000	0.4428223844282238	16	5824	13152	2400
EU	RU	1	6400001	6450000	0.4644008930786405	23	7488	16124	6232
