pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
RU	1	1	50000	0.4281767955801105	35	1550	3620	1735
EU	1	1	50000	0.4229877442861874	35	20432	48304	1781
RU	1	50001	100000	0.4346978557504873	33	1561	3591	1458
EU	1	50001	100000	0.4507686005648621	33	20908	46383	840
EU	1	100001	150000	0.4488538485114298	67	42471	94621	1256
RU	1	100001	150000	0.4462820350965787	67	3535	7921	2330
RU	1	150001	200000	0.4119640489170473	66	2796	6787	3311
EU	1	150001	200000	0.4202695663497851	66	38727	92148	2298
EU	1	200001	250000	0.4312642694063927	50	30223	70080	1470
RU	1	200001	250000	0.3999582289055973	50	1915	4788	2862
RU	1	250001	300000	0.3801418439716312	32	1340	3525	1371
EU	1	250001	300000	0.4321805248957567	32	19382	44847	945
RU	1	300001	350000	0.4274822094205354	54	2523	5902	2360
EU	1	300001	350000	0.4384179014529209	54	33464	76329	945
EU	1	350001	400000	0.4452760984763672	67	41762	93789	2088
RU	1	350001	400000	0.4387162358408364	67	3021	6886	3365
RU	1	400001	450000	0.4562667797089162	67	3229	7077	3174
EU	1	400001	450000	0.4517043630839021	67	42219	93466	2411
EU	1	450001	500000	0.4128809060475242	96	55376	134121	3255
RU	1	450001	500000	0.412051948051948	96	3966	9625	5063
EU	1	500001	550000	0.4169634338720799	75	44141	105863	1462
RU	1	500001	550000	0.4149115891429215	75	3684	8879	2596
EU	1	550001	600000	0.411852094598285	65	37703	91545	1470
RU	1	550001	600000	0.3819358816276202	65	2478	6488	3457
RU	1	600001	650000	0.4200597176981542	65	3095	7368	2577
EU	1	600001	650000	0.423533925243889	65	38639	91230	1785
EU	1	650001	700000	0.4333969921222249	12	7262	16756	416
RU	1	650001	700000	0.4868835257082896	12	464	953	883
RU	1	700001	750000	0.3922793074084587	31	1382	3523	1220
EU	1	700001	750000	0.4064169891284319	31	17645	43416	945
RU	1	750001	800000	0.390992835209826	69	2674	6839	3718
EU	1	750001	800000	0.42856698433109	69	41328	96433	2306
