pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
EU	RU	1	1	50000	-0.0040369693003596	35
EU	RU	1	50001	100000	0.004138245175992	33
EU	RU	1	100001	150000	-0.0105039076177377	67
EU	RU	1	150001	200000	0.0068992250953584	66
EU	RU	1	200001	250000	0.01236420632205	50
EU	RU	1	250001	300000	0.0137039278424864	32
EU	RU	1	300001	350000	0.0019824139332686	54
EU	RU	1	350001	400000	0.0033081713272916	67
EU	RU	1	400001	450000	0.0076929485371711	67
EU	RU	1	450001	500000	0.0251677289206385	96
EU	RU	1	500001	550000	0.000956119684598	75
EU	RU	1	550001	600000	0.0126963636628362	65
EU	RU	1	600001	650000	0.0065401016768242	65
EU	RU	1	650001	700000	0.0030880126288346	12
EU	RU	1	700001	750000	0.015530168980592	31
EU	RU	1	750001	800000	0.0214126807985046	69
EU	RU	1	800001	850000	0.0033942354575334	90
EU	RU	1	850001	900000	-0.0068241733234163	82
EU	RU	1	900001	950000	-0.0006755137151433	87
EU	RU	1	950001	1000000	0.0040348515256396	75
EU	RU	1	1000001	1050000	-0.0171661292568674	40
EU	RU	1	1050001	1100000	0.0050564371196082	55
EU	RU	1	1100001	1150000	-0.0201402681693486	52
EU	RU	1	1150001	1200000	-0.0105309367738922	70
EU	RU	1	1200001	1250000	-0.0117670988988559	96
EU	RU	1	1250001	1300000	-0.0016537983528676	70
EU	RU	1	1300001	1350000	-0.0109556400270671	56
EU	RU	1	1350001	1400000	-0.001648005030079	27
EU	RU	1	1400001	1450000	-0.0024642308320517	78
EU	RU	1	1450001	1500000	0.0028565572727815	78
EU	RU	1	1500001	1550000	0.0137825620015333	92
EU	RU	1	1550001	1600000	-0.00220894377234	95
EU	RU	1	1600001	1650000	0.0168479172967315	53
EU	RU	1	1650001	1700000	-0.000610473628924	88
EU	RU	1	1700001	1750000	-0.0053113257059719	99
EU	RU	1	1750001	1800000	0.0003531578457322	115
EU	RU	1	1800001	1850000	-0.0030726425224639	91
EU	RU	1	1850001	1900000	-0.011286397883279	107
EU	RU	1	1900001	1950000	0.0067330655850529	115
EU	RU	1	1950001	2000000	0.0034965787313931	112
EU	RU	1	2000001	2050000	-0.0049848648016117	30
EU	RU	1	2100001	2150000	0.0075289876849583	100
EU	RU	1	2150001	2200000	0.0007313470843341	84
EU	RU	1	2200001	2250000	-0.0035262107306121	78
EU	RU	1	2250001	2300000	0.0242700458250698	62
EU	RU	1	2300001	2350000	0.005875094914323	67
EU	RU	1	2350001	2400000	0.0155236003294798	76
EU	RU	1	2400001	2450000	0.0045299416078401	63
EU	RU	1	2450001	2500000	-0.0041042786001361	54
EU	RU	1	2500001	2550000	-0.0048187276442031	89
EU	RU	1	2550001	2600000	0.0139422291263046	71
EU	RU	1	2600001	2650000	-0.0030980980323523	49
EU	RU	1	2650001	2700000	0.0114505701506875	43
EU	RU	1	2700001	2750000	-0.0109379578356702	55
EU	RU	1	2750001	2800000	0.0156274111880122	75
EU	RU	1	2800001	2850000	0.0134783437858233	68
EU	RU	1	2850001	2900000	0.010143828373388	114
EU	RU	1	2900001	2950000	0.0231074655217205	72
EU	RU	1	2950001	3000000	-0.0039244783986851	81
EU	RU	1	3000001	3050000	0.0086268883716539	89
EU	RU	1	3050001	3100000	-0.0090029099241124	61
EU	RU	1	3100001	3150000	0.0089407509047097	106
EU	RU	1	3150001	3200000	0.0133202752065462	77
EU	RU	1	3200001	3250000	-0.0085122275556781	105
EU	RU	1	3250001	3300000	0.0002358750245089	94
EU	RU	1	3300001	3350000	0.0171707667918955	82
EU	RU	1	3350001	3400000	0.003793566862007	88
EU	RU	1	3400001	3450000	0.0110537492724133	87
EU	RU	1	3450001	3500000	0.0011802209627174	81
EU	RU	1	3500001	3550000	0.0232257344865208	89
EU	RU	1	3550001	3600000	-0.0147077339389105	111
EU	RU	1	3600001	3650000	0.0014317241848661	109
EU	RU	1	3650001	3700000	0.0111106538897354	91
EU	RU	1	3700001	3750000	0.0014681166565649	106
EU	RU	1	3750001	3800000	0.0079292039738009	72
EU	RU	1	3800001	3850000	0.0022136865911413	48
EU	RU	1	3850001	3900000	0.0126475400044768	57
EU	RU	1	3900001	3950000	-0.0099352335835506	63
EU	RU	1	3950001	4000000	0.0065636317237085	53
EU	RU	1	4000001	4050000	-0.0098051436660535	55
EU	RU	1	4050001	4100000	0.0163977481390116	68
EU	RU	1	4100001	4150000	0.0044253220799504	85
EU	RU	1	4150001	4200000	-0.0028454876178895	62
EU	RU	1	4200001	4250000	-0.0113009080462218	49
EU	RU	1	4250001	4300000	-0.0065348825708586	95
EU	RU	1	4300001	4350000	-0.0080075294839344	68
EU	RU	1	4350001	4400000	-0.0027147671421802	53
EU	RU	1	4400001	4450000	-0.0092568905256317	68
EU	RU	1	4450001	4500000	0.0014321693550809	74
EU	RU	1	4500001	4550000	0.0034384772556028	79
EU	RU	1	4550001	4600000	0.0168452586462354	56
EU	RU	1	4600001	4650000	0.0004262618626019	48
EU	RU	1	4650001	4700000	0.0106561788708156	51
EU	RU	1	4700001	4750000	-0.0041666951462861	49
EU	RU	1	4750001	4800000	0.0294198872894645	77
EU	RU	1	4800001	4850000	-0.0061096583330502	114
EU	RU	1	4850001	4900000	-0.0083846060768926	74
EU	RU	1	4900001	4950000	-0.006463128956691	59
EU	RU	1	4950001	5000000	-0.0120177900695299	74
EU	RU	1	5000001	5050000	0.015966831117659	87
EU	RU	1	5050001	5100000	-0.0077102289839166	71
EU	RU	1	5100001	5150000	-0.0078313646513941	47
EU	RU	1	5150001	5200000	-0.0024729860898406	74
EU	RU	1	5200001	5250000	-0.007627084209917	69
EU	RU	1	5250001	5300000	0.004905140118851	71
EU	RU	1	5300001	5350000	0.0269144728400149	39
EU	RU	1	5350001	5400000	0.0034462389313781	47
EU	RU	1	5400001	5450000	0.0085813911559461	70
EU	RU	1	5450001	5500000	0.005330200779478	66
EU	RU	1	5500001	5550000	0.0034183051553434	64
EU	RU	1	5550001	5600000	-0.0049305198201208	72
EU	RU	1	5600001	5650000	-0.0025286726216604	74
EU	RU	1	5650001	5700000	0.0045268211381301	75
EU	RU	1	5700001	5750000	0.0082127444367137	57
EU	RU	1	5750001	5800000	0.0064944804283094	54
EU	RU	1	5800001	5850000	-0.0029547554419129	53
EU	RU	1	5850001	5900000	0.0149677795545595	57
EU	RU	1	5900001	5950000	-0.0045326509617686	42
EU	RU	1	5950001	6000000	0.0027420505367799	74
EU	RU	1	6000001	6050000	0.0251285857745575	49
EU	RU	1	6050001	6100000	-0.0020297917834816	50
EU	RU	1	6100001	6150000	-0.0055256783264884	46
EU	RU	1	6150001	6200000	0.0004520285075698	34
EU	RU	1	6200001	6250000	0.0171810521156501	21
EU	RU	1	6250001	6300000	-0.002943767533985	16
EU	RU	1	6300001	6350000	0.0158827127754534	11
EU	RU	1	6350001	6400000	-0.0194719796504039	16
EU	RU	1	6400001	6450000	0.0140474699497855	23
EU	RU	1	6450001	6500000	0.022465431166419	34
EU	RU	1	6500001	6550000	-0.001464065740712	32
EU	RU	1	6550001	6600000	-0.0109397044509768	16
EU	RU	1	6600001	6650000	-0.0240222563359384	23
EU	RU	1	6650001	6700000	-0.0176082167609606	19
EU	RU	1	6700001	6750000	0.0022550338615482	26
EU	RU	1	6750001	6800000	0.0120853876687947	17
EU	RU	1	6800001	6850000	0.031649452998223	13
EU	RU	1	6850001	6900000	-0.0148158463937064	10
EU	RU	1	6900001	6950000	0.0289309565121422	13
EU	RU	1	6950001	7000000	0.0023027961012257	19
EU	RU	1	7000001	7050000	-0.0139376368523599	18
EU	RU	1	7050001	7100000	0.0107246354431403	15
EU	RU	1	7100001	7150000	-0.0049304749994298	11
EU	RU	1	7150001	7200000	-0.0017688168168355	8
EU	RU	1	7200001	7250000	-0.0094356740341722	12
EU	RU	1	7250001	7300000	0.0398278781491052	7
EU	RU	1	7300001	7350000	0.004942175063836	4
EU	RU	1	7350001	7400000	-0.0170514415356793	5
EU	RU	1	7400001	7450000	0.004457099223261	7
EU	RU	1	7450001	7500000	0.0241804244535913	9
EU	RU	1	7500001	7550000	0.0382527126161028	9
EU	RU	1	7550001	7600000	0.0304905594472536	6
EU	RU	1	7600001	7650000	-0.0011549503684741	6
EU	RU	1	7650001	7700000	0.0571771653503938	2
EU	RU	1	7700001	7750000	0.0318439210102729	3
EU	RU	1	7750001	7800000	-0.0164396818119924	6
EU	RU	1	7800001	7850000	-0.0380823446736474	4
EU	RU	1	7850001	7900000	-0.0265546307910107	2
EU	RU	1	7900001	7950000	-0.0308018589540003	1
EU	RU	1	8000001	8050000	0.1366547679128404	2
EU	RU	1	8050001	8100000	-0.0334465367016418	1
EU	RU	1	8150001	8200000	-0.0072437720772458	3
EU	RU	1	8250001	8300000	0.0151649981653926	3
EU	RU	1	8300001	8350000	-0.0121850385569598	3
